id,label
307605,2
329764,3
324109,8
346924,8
324388,8
321190,3
315489,8
308389,1
333463,8
324734,9
324449,8
323189,9
314986,8
314273,3
307584,8
308091,2
317200,8
324134,10
333045,8
324374,8
307959,8
334020,8
306484,9
337129,8
305012,4
344615,9
324145,8
322703,4
333718,10
331820,8
331942,4
329079,8
333844,8
310907,2
344710,5
330498,8
319387,3
322544,8
328798,8
321184,8
307232,4
338658,8
332650,8
321954,8
325498,9
322322,9
344014,8
338285,8
322890,8
322177,9
322049,8
321298,6
322845,1
324015,8
345561,8
320690,2
336577,8
338024,6
320251,8
321900,9
316532,8
335135,8
330416,9
336103,9
311642,9
335794,8
319979,8
332561,1
321816,6
343843,1
335338,8
313974,8
337854,8
336902,8
322531,4
322642,4
331756,2
337878,7
320911,3
324669,9
323339,9
332340,8
337466,8
330771,8
323977,1
308370,8
323282,9
323219,9
323840,9
323228,9
329066,3
309644,1
347137,6
309525,1
336573,9
323235,9
304887,1
319893,8
332118,3
309900,10
324959,9
304945,8
324960,9
307540,8
348864,8
340703,1
321565,10
312855,2
323146,9
324857,9
323342,9
308518,8
311767,8
332579,9
308824,8
317762,8
308035,8
336098,9
307960,8
344551,9
338154,8
323838,9
330169,8
309754,10
323844,9
306351,7
310663,9
323186,9
306818,1
309676,8
323340,9
323163,9
319985,8
308607,8
321598,4
324450,8
305379,3
323298,9
333497,8
324764,9
323820,9
320289,6
321562,10
333214,1
330587,3
336900,8
348449,4
324908,9
311798,8
338467,8
316706,8
333905,8
304881,1
348282,1
323132,9
328800,10
323847,9
323216,9
306959,1
324735,9
312906,5
308658,6
321619,8
332037,8
307878,1
324283,10
315146,8
322505,4
309649,8
331847,4
306602,6
336680,8
337689,8
311419,8
307048,1
310305,10
305719,1
311302,8
305123,3
307293,1
348446,8
324679,8
309751,4
338491,8
337692,8
332315,8
309097,1
324079,6
329962,8
336817,4
323022,8
321285,1
308768,8
337699,9
336526,8
349167,8
305031,7
336847,8
332664,1
332467,9
332998,1
308263,8
325138,8
332345,1
321826,8
330890,3
322480,8
319825,9
336420,3
332958,8
337096,9
315783,4
329982,3
322677,8
305485,8
312274,8
316531,8
333053,8
332010,10
319854,8
305757,8
305176,8
311650,1
337594,6
316849,8
349137,8
323329,9
337670,4
309875,4
337218,8
309290,3
307533,8
338696,1
310880,3
320503,9
305408,1
329199,8
318828,8
323230,9
324039,2
310556,7
333136,8
313372,8
304953,4
323173,9
323176,9
310166,7
324091,8
336631,8
323260,9
307036,8
307593,8
323224,9
324650,9
343548,1
313517,1
337606,8
321260,8
322354,9
336970,8
337842,8
304852,8
349139,8
320354,9
337853,8
330770,8
323142,9
323381,9
305606,8
323836,9
309039,8
336032,9
304978,3
321212,8
332953,9
324729,9
304863,8
318239,8
306300,8
323127,9
323287,9
325113,9
308586,4
329989,2
310306,8
338340,8
327542,9
319386,7
307660,8
322946,3
310562,8
305744,1
332041,10
324667,9
306857,8
330422,8
324400,1
324808,9
323325,9
312508,7
324802,9
322672,8
331883,3
344261,8
337126,7
330865,8
321575,2
321592,4
321289,1
338027,8
343848,9
322666,8
330919,4
321976,1
322401,9
333235,3
321621,8
322396,9
332928,8
322635,4
322545,8
310897,8
324635,1
310969,8
315816,4
308069,1
320844,8
321304,1
332377,5
